Title	Category	Data Range	Location	Link	Description	Hotel Information
North American International Propulsion Conference	Automotive	November 16-18, 2022	Chicago, Illinois, USA	https://www.sae.org/attend/naipc	"Propulsion Leaders Unite
The North American International Propulsion Conference (NAIPC) is an annual meeting with a focus on business in the North American market. It is organized by propulsion and powertrain executives for propulsion and powertrain executives targeting an elite audience of individuals with levels of director or higher.  NAIPC will facilitate and encourage critical, open conversations that provide strategic direction for companies to prepare for what lies ahead in international propulsion sector. Between compelling keynotes and interactive sessions, attendees will explore customer perspectives, market forces affecting the propulsion business, and the impacts of new technology options and energy sources.  Attendees will also participate in the unique executive-to-executive networking opportunities.
The theme for the 2023 meeting is Driving Toward Carbon Neutrality.
The auto industry is striving for zero emissions and is in the process of transitioning from internal combustion engines (ICE) to electric vehicle (EV) technologies to propel vehicles. The auto industry is working to do its part to decrease carbon emissions to mitigate climate change impacts. The switch from a petroleum-based industry to an electric one has created many new innovations and disruptions that will be addressed at NAIPC.
It has been a long standing tradition for NAIPC to meet under the Chatham House Rule. 
The Chatham House Rule is used around the world to encourage inclusive and open dialogue in meetings.  
The Chatham House Rule helps create a trusted environment to understand and resolve complex problems. Its guiding spirit is: share the information you receive, but do not reveal the identity of who said it. 
The rule reads as follows: 
When a meeting, or part thereof, is held under the Chatham House Rule, participants are free to use the information received, but neither the identity nor the affiliation of the speaker(s), nor that of any other participant, may be revealed. 
Additional information can be found here."	[]
DoD Maintenance Symposium	Govt/Defense	December 12-15, 2022	Orlando, Florida, USA	https://www.sae.org/attend/dod	"Next Generation Materiel Readiness Forged through Data Advantage, Technology, and Innovation
The Department’s urgent and ongoing readiness recovery journey must succeed and requires both government organizations and industry, side-by-side, to achieve the goals set in the National Defense Strategy. Recent efforts focused on increasing the   availability of critical DoD platforms have yielded improvement — but the current global environment requires us to accelerate our pace.

Annually, the DoD Maintenance Symposium and co-located Defense Maintenance and Logistics Exhibition brings over 1,600 defense maintenance professionals together for four days of concentrated learning, collaboration, and technology exploration.
The Symposium is the only DoD event solely focused on maintenance of weapon systems and equipment. Defense maintenance and sustainment professionals from government, industry, and academia converge in Orlando, Florida, this December to engage  on issues in this event that includes:

Senior keynote presentations
Plenary panels
Breakout and tutorial technical sessions
Associated meetings
The annual SecDef Maintenance Awards Ceremony

Download
Event-at-a-Glance Call to Innovations Memo"	[['Rosen Centre', '9840 International Drive\nOrlando, FL 32819\nSkywalk connects hotel to OCCC', None], ['Rosen Plaza', '9700 International Drive\nOrlando, FL 32819\nSkywalk connects hotel to OCCC', None], ['DoubleTree by Hilton Hotel Orlando at SeaWorld', '10100 International Drive\nOrlando, FL 32821\nShuttle Service to Convention Center to be provided for event attendees during peak event hours.', None]]
Defense Maintenance And Logistics Exhibition	Govt/Defense	December 12-15, 2022	Orlando, Florida, USA	https://www.sae.org/attend/defense-maintenance-and-logistics-exhibition/	"Technology + Innovation + Data = Advantage.
Co-located 2022 Defense Maintenance and Logistics Exhibition. 
Discover and collaborate with companies and organizations involved in military and commercial maintenance technology, information, and management processes that drive next generation materiel readiness through data advantage, technology, and innovation.
Showcase solutions that forge readiness, enhance your presence, and build brand recognition among the 2022 DoD Maintenance Symposium audience by sponsoring, exhibiting, and/or advertising at the co-located Defense Maintenance and Logistics Exhibition."	[]
Government/Industry Meeting	Automotive	January 17-19, 2023	Washington, District of Columbia, USA	http://www.sae.org/gim	"Furthering Innovation Through Collaboration
Creating the safe, sustainable, automated vehicles of tomorrow requires mutual understanding and collaboration between today’s automakers and policymakers. This annual meeting provides a much-needed forum for the open dialogue that drives that understanding, by bringing key players from the government, policy, and automotive worlds together to discuss the effect of regulation, technology, and customer acceptance on future vehicle design — and effect of R&D on current and future regulation. No other industry event offers this kind of two-way street for the exchanging of information between the people building and regulating mobility’s next phase.
All registered participants will receive early access to the Washington DC Automotive Show.
Testimonial
“I have probably been to over a hundred conferences over my career. Many of them have been focused on technology and technical developments. Others have focused on policy issues and objectives of a particular industry sector attended almost exclusively by the members of that industry. Some have been a combination of the two. In many cases government officials are viewed as the bad guy in the room, standing in the way of progress. The SAE Government/Industry Meeting stands out among them all as a very unique conference. It is designed to be the place that brings together leaders from a range of interrelated industry sectors and government to openly discuss and further understand the technical and policy issues being faced by these industries that are critical to their future.”
- Paul Machiele, Fuel Center Director, United States Environmental Protection Agency"	[]
SAE On-Board Diagnostics Symposium - Europe	Automotive	March 14-16, 2023	Prague, Czech Republic	https://www.sae.org/attend/obd-europe?utm_source=google&utm_campaign=WCX22	"Shape the Future of On-Board Monitoring and Calibration Systems
The On-Board Diagnostics Symposium-Europe (OBD-EU) is the industry’s relied-upon resource for regulatory updates and standards reviews for light- and heavy-duty emissions controls. Here, you will immerse yourself with information on the most current and changing global emission rules and regulations, industry drivers, legislative policies & standards, and emerging technologies that are impacting not only the European market, but markets worldwide.
This is your opportunity to unite with forward-thinking OBD-systems engineers from the automotive and commercial vehicle industries, executives, OEMs, regulators, suppliers, government, and more to address the ongoing need for technical and regulatory updates."	[[None, None, None], [None, 'Receive the latest information on regulatory, legislative, and standards updates', None], [None, '“The OBD Symposium is an excellent opportunity to get a perspective on the industry and gain a better understanding of the intent behind existing regulations and upcoming changes.”\n\n- 2021 OBD-EU attendee', None]]
AeroTech	Aerospace	March 14-16, 2023	Ft. Worth, Texas, USA	https://www.sae.org/attend/aerotech/	"Celebrate, Collaborate, and Connect at AeroTech®
Plan to participate in SAE’s AeroTech aerospace technology conference and exhibition. Join industry innovators, thought-leaders, and high-tech professionals worldwide to celebrate aerospace achievements, share successes and practical information to advance technology and processes, keep pace with and gain guidance on aerospace standards and regulatory activities, and network and collaborate to move the industry forward and reach new heights! 
AeroTech convenes and connects high-tech aerospace and engineering professionals from every facet of industry to celebrate technology breakthroughs and wins, engage in key and critical conversations, share practical solutions and premier technical information, and glean invaluable insight into modern and future aerospace and defense priorities, technologies, and opportunities. 
Learn about industry endeavors and successes in sustainability, safety and security, automation, connectivity, smart manufacturing, digital transformation, additive manufacturing, materials, sustainment, supply chain, and much more at AeroTech 2023."	[]
WCX SAE World Congress Experience	Automotive	April 18-20, 2023	Detroit, Michigan, USA	https://www.sae.org/highlights/wcx	"Don't just attend WCX, share your expertise too.
It only takes 250 words to get started.
SAE invites you to extend your subject-matter expertise to the global mobility industry by preparing an abstract for the 2023 WCX World Congress Experience. The submission period is June 1 - September 13. Start preparing today!
If your submission is selected by the SAE committee, you will share your technical paper and present your work at WCX 2023.
Submission period:
June 1 - September 13, 2022
View Call for Papers
 



WCX in the News
Discover feature interviews, session highlights, articles, blog posts, and WCX TV episodes from WCX World Congress Experience 2022.
Read More"	[]
SAE Heavy-Duty Diesel Sustainable Transport Symposium	Automotive	May 3-4, 2023	Gothenburg, Sweden	https://www.sae.org/attend/heavy-duty-diesel-sustainable-transport-symposium		[]
Noise And Vibration Conference & Exhibition	Automotive	May 15-18, 2023	Grand Rapids, Michigan, USA	https://www.sae.org/attend/nvh	"Attend the ONLY Dedicated Mobility NVH Event in North America
The SAE Noise and Vibration Conference & Exhibition (NVC), held biennially, is the only event of its kind – uniting more than 1,000 forward thinking engineers, executives, researchers, designers, academia, and more to discuss the latest cutting-edge technologies surrounding NVH and sound quality.






What to expect:
Coming in May of 2023, plan to take part in three-plus days of technical sessions, workshops, panels, and a hands-on exhibition focused on practical solutions around powertrains, exhausts, tires, interiors, and external environments. Plus, numerous critical networking opportunities with technical leaders spanning the full range of NVH.








What you will learn:
Attendees will learn the latest scientific discoveries and technological innovations in materials, components, systems, testing, modeling, and aftermarket solutions for both the light and medium duty segments, as well as new advances from the heavy-duty and aerospace industries.
Industry pioneers will address the latest noise and vibration challenges, requirements, and strategies needed to meet those challenges.








Why you should attend:
This is your chance to make critical connections that will enhance your knowledge and improve your job performance. At NVC, you will network with the entire supply chain community – from OEMs and tier suppliers through part manufacturers, material developers and researchers."	[]
International Conference On Icing Of Aircraft, Engines, And Structures	Aerospace	June 19-23, 2023	Vienna, Austria	https://www.sae.org/attend/icing/	"Ensuring Aircraft, Engines, and Structures Operations Safety and Efficiency in Icing Environments
Discover what industry researchers, innovators, and regulators are learning and applying to ensure safety on the ground and in flight.
Gather with industry’s icing experts at the unique event focused on in-flight aircraft, engine, and structure icing, ice prevention, and ice detection as well as ground deicing: SAE’s International Conference on Icing of Aircraft, Engines, and Structures, held every four years and collocated with the SAE AC-9C Aircraft Icing standards committee meeting and AIAA Ice Prediction Workshop. 
SAE’s International Conference on Icing of Aircraft, Engines, and Structures is the must-attend event for professionals involved in any aspect of aircraft or engine architecture and design, flight operations, research & innovation, ground and flight tests, icing certification, or ground operations—including airlines, airports, original equipment manufacturers (OEMs), and suppliers.
The International Conference on Icing of Aircraft, Engines, and Structures convenes:

The latest research and regulations regarding aircraft operations in icing conditions
Research on ice formation and prevention
New and emerging technologies and systems designed to deice, remove ice, or prevent ice formation on aircraft, both on the ground and in the air
Current and future challenges, opportunities, requirements, and innovations for aircraft anti-icing systems and ground and in-flight deicing operations
Key speakers in the industry and government providing insights on ice protection and ice detection
Hundreds of aerospace experts and professionals to share ideas, information, and solutions
Papers, presentations, and panel discussions involving icing scientists and professionals 

Don’t miss this opportunity to learn, share, collaborate, and contribute to flight safety in all conditions. Attend SAE’s International Conference on Icing of Aircraft, Engines, and Structures."	[]
JSAE/SAE Powertrains, Energy And Lubricants International Meeting	Automotive	August 29-September 1, 2023	Kyoto, Japan	https://2023pel.jp/	"Ensuring Aircraft, Engines, and Structures Operations Safety and Efficiency in Icing Environments
Discover what industry researchers, innovators, and regulators are learning and applying to ensure safety on the ground and in flight.
Gather with industry’s icing experts at the unique event focused on in-flight aircraft, engine, and structure icing, ice prevention, and ice detection as well as ground deicing: SAE’s International Conference on Icing of Aircraft, Engines, and Structures, held every four years and collocated with the SAE AC-9C Aircraft Icing standards committee meeting and AIAA Ice Prediction Workshop. 
SAE’s International Conference on Icing of Aircraft, Engines, and Structures is the must-attend event for professionals involved in any aspect of aircraft or engine architecture and design, flight operations, research & innovation, ground and flight tests, icing certification, or ground operations—including airlines, airports, original equipment manufacturers (OEMs), and suppliers.
The International Conference on Icing of Aircraft, Engines, and Structures convenes:

The latest research and regulations regarding aircraft operations in icing conditions
Research on ice formation and prevention
New and emerging technologies and systems designed to deice, remove ice, or prevent ice formation on aircraft, both on the ground and in the air
Current and future challenges, opportunities, requirements, and innovations for aircraft anti-icing systems and ground and in-flight deicing operations
Key speakers in the industry and government providing insights on ice protection and ice detection
Hundreds of aerospace experts and professionals to share ideas, information, and solutions
Papers, presentations, and panel discussions involving icing scientists and professionals 

Don’t miss this opportunity to learn, share, collaborate, and contribute to flight safety in all conditions. Attend SAE’s International Conference on Icing of Aircraft, Engines, and Structures."	[]
COMVEC™	Commercial	September 19-21, 2023	Chicago, Illinois, USA			
North American International Powertrain Conference	Automotive	September 27-29, 2023	Chicago, Illinois, USA			
SAE Thermal Management Systems Symposium	Automotive	October 3-4, 2023	Plymouth, Michigan, USA			
Small Powertrains And Energy Systems Technology Conference	Automotive	October 31-November 2, 2023	Minneapolis, Minnesota, USA			
SAE Powertrains, Fuels & Lubricants Conference & Exhibition	Automotive	November 7-9, 2023	Greenville, South Carolina, USA			
Brake Colloquium & Exhibition - 41st Annual	Automotive	November 12-15, 2023	San Antonio, Texas, USA			
Government/Industry Meeting	Automotive	January 17-19, 2024	Washington, District of Columbia, USA			
WCX SAE World Congress Experience	Automotive	April 16-18, 2024	Detroit, Michigan, USA			
COMVEC™	Commercial	September 10-12, 2024	Schaumburg, Illinois, USA			
KSAE/SAE Powertrains, Fuels & Lubricants Meeting & Exhibition	Automotive	October 20-23, 2024	Pusan, South Korea			
Government/Industry Meeting	Automotive	January 29-31, 2025	Washington, District of Columbia, USA			
WCX SAE World Congress Experience	Automotive	April 8-10, 2025	Detroit, Michigan, USA			
Noise & Vibration Conference & Exhibition	Automotive	May 12-16, 2025	Grand Rapids, Michigan, USA			
COMVEC™	Commercial	September 16-18, 2025	Schaumburg, Illinois, USA			
